Individual{TOC=25450.716059178878, NV=64}
Individual{TOC=29658.891454834305, NV=63}
Individual{TOC=29909.015938674685, NV=56}
Individual{TOC=23113.866790629934, NV=68}
Individual{TOC=21151.154683806835, NV=76}
Individual{TOC=20579.653728710287, NV=96}
Individual{TOC=20117.782476757424, NV=104}
Individual{TOC=18721.13578962753, NV=124}
Individual{TOC=18930.939850277016, NV=112}
Individual{TOC=19085.197959090314, NV=106}
Individual{TOC=17702.35526144282, NV=149}
Individual{TOC=18235.034704410587, NV=128}
Individual{TOC=17447.758344887778, NV=165}
Individual{TOC=18187.562839343907, NV=132}
