Individual{TOC=14926.606658359655, NV=56}
Individual{TOC=14942.925912554021, NV=53}
Individual{TOC=15007.05569327825, NV=51}
Individual{TOC=15015.007632635217, NV=50}
Individual{TOC=15087.795356774266, NV=49}
Individual{TOC=15171.018058613467, NV=48}
Individual{TOC=15178.40796436889, NV=47}
Individual{TOC=15182.540444794033, NV=46}
Individual{TOC=15310.059828071833, NV=45}
Individual{TOC=15431.019886205971, NV=44}
Individual{TOC=15456.10115161595, NV=43}
Individual{TOC=15556.297256125972, NV=42}
Individual{TOC=15686.448992187448, NV=41}
Individual{TOC=16230.41802005238, NV=40}
Individual{TOC=16699.482586625305, NV=39}
