Individual{TOC=14436.875679599236, NV=64}
Individual{TOC=14447.26821231762, NV=63}
Individual{TOC=14453.705955920666, NV=62}
Individual{TOC=14476.816230129696, NV=61}
Individual{TOC=14506.093116397313, NV=60}
Individual{TOC=14518.458886892962, NV=59}
Individual{TOC=14543.456539841956, NV=57}
Individual{TOC=14601.059287686761, NV=56}
Individual{TOC=14651.826821010536, NV=54}
Individual{TOC=14679.378103100593, NV=53}
Individual{TOC=14816.910936937194, NV=52}
Individual{TOC=14871.040392188392, NV=51}
Individual{TOC=14891.257551810622, NV=50}
Individual{TOC=15154.89185592864, NV=49}
Individual{TOC=15531.83845562279, NV=48}
Individual{TOC=15849.04136343639, NV=47}
Individual{TOC=16424.04734324366, NV=46}
