Individual{TOC=5322.964626603039, NV=15}
Individual{TOC=5360.928421280912, NV=14}
Individual{TOC=5364.837374576204, NV=12}
Individual{TOC=5460.371638022415, NV=11}
Individual{TOC=5487.944811085131, NV=10}
Individual{TOC=5487.944811085131, NV=10}
Individual{TOC=5487.944811085131, NV=10}
Individual{TOC=5487.944811085131, NV=10}
Individual{TOC=5487.944811085131, NV=10}
Individual{TOC=5487.944811085131, NV=10}
Individual{TOC=5487.944811085131, NV=10}
Individual{TOC=5487.944811085131, NV=10}
Individual{TOC=5487.944811085131, NV=10}
Individual{TOC=5487.944811085131, NV=10}
Individual{TOC=5487.944811085131, NV=10}
Individual{TOC=5487.944811085131, NV=10}
Individual{TOC=5487.944811085131, NV=10}
Individual{TOC=5487.944811085131, NV=10}
Individual{TOC=5487.944811085131, NV=10}
Individual{TOC=5487.944811085131, NV=10}
Individual{TOC=5487.944811085131, NV=10}
Individual{TOC=5487.944811085131, NV=10}
Individual{TOC=5487.944811085131, NV=10}
Individual{TOC=5487.944811085131, NV=10}
Individual{TOC=5487.944811085131, NV=10}
Individual{TOC=5487.944811085131, NV=10}
Individual{TOC=5487.944811085131, NV=10}
Individual{TOC=5487.944811085131, NV=10}
Individual{TOC=5487.944811085131, NV=10}
Individual{TOC=5487.944811085131, NV=10}
Individual{TOC=5487.944811085131, NV=10}
Individual{TOC=5487.944811085131, NV=10}
Individual{TOC=5487.944811085131, NV=10}
Individual{TOC=5487.944811085131, NV=10}
Individual{TOC=5487.944811085131, NV=10}
Individual{TOC=5514.938978622, NV=9}
Individual{TOC=5514.938978622, NV=9}
Individual{TOC=5514.938978622, NV=9}
Individual{TOC=5514.938978622, NV=9}
Individual{TOC=5514.938978622, NV=9}
Individual{TOC=5514.938978622, NV=9}
Individual{TOC=5514.938978622, NV=9}
