Individual{TOC=12805.841978203027, NV=33}
Individual{TOC=12953.824501170237, NV=31}
Individual{TOC=12954.339121537507, NV=29}
Individual{TOC=13179.193148198985, NV=28}
Individual{TOC=13195.40561226601, NV=27}
Individual{TOC=13299.625789265101, NV=26}
Individual{TOC=13758.394763956261, NV=25}
Individual{TOC=13905.363714389712, NV=24}
Individual{TOC=13905.363714389712, NV=24}
Individual{TOC=13960.646714941422, NV=23}
Individual{TOC=13960.646714941422, NV=23}
Individual{TOC=13960.646714941422, NV=23}
Individual{TOC=13960.646714941422, NV=23}
Individual{TOC=13960.646714941422, NV=23}
Individual{TOC=13960.646714941422, NV=23}
Individual{TOC=13960.646714941422, NV=23}
Individual{TOC=13960.646714941422, NV=23}
Individual{TOC=13960.646714941422, NV=23}
Individual{TOC=13960.646714941422, NV=23}
Individual{TOC=13960.646714941422, NV=23}
Individual{TOC=13960.646714941422, NV=23}
Individual{TOC=13960.646714941422, NV=23}
Individual{TOC=13960.646714941422, NV=23}
Individual{TOC=13960.646714941422, NV=23}
Individual{TOC=13960.646714941422, NV=23}
Individual{TOC=13960.646714941422, NV=23}
Individual{TOC=13960.646714941422, NV=23}
Individual{TOC=13960.646714941422, NV=23}
Individual{TOC=13960.646714941422, NV=23}
Individual{TOC=13960.646714941422, NV=23}
Individual{TOC=13960.646714941422, NV=23}
Individual{TOC=13960.646714941422, NV=23}
Individual{TOC=13960.646714941422, NV=23}
Individual{TOC=13960.646714941422, NV=23}
Individual{TOC=13960.646714941422, NV=23}
Individual{TOC=13960.646714941422, NV=23}
Individual{TOC=13960.646714941422, NV=23}
Individual{TOC=13960.646714941422, NV=23}
Individual{TOC=13960.646714941422, NV=23}
Individual{TOC=13960.646714941422, NV=23}
Individual{TOC=13960.646714941422, NV=23}
Individual{TOC=13960.646714941422, NV=23}
Individual{TOC=13960.646714941422, NV=23}
Individual{TOC=13960.646714941422, NV=23}
Individual{TOC=13960.646714941422, NV=23}
Individual{TOC=13960.646714941422, NV=23}
Individual{TOC=13960.646714941422, NV=23}
Individual{TOC=13960.646714941422, NV=23}
Individual{TOC=13960.646714941422, NV=23}
Individual{TOC=13960.646714941422, NV=23}
Individual{TOC=13960.646714941422, NV=23}
Individual{TOC=13960.646714941422, NV=23}
Individual{TOC=13960.646714941422, NV=23}
Individual{TOC=13960.646714941422, NV=23}
Individual{TOC=13960.646714941422, NV=23}
Individual{TOC=13960.646714941422, NV=23}
Individual{TOC=13960.646714941422, NV=23}
Individual{TOC=13960.646714941422, NV=23}
Individual{TOC=13960.646714941422, NV=23}
