Individual{TOC=5371.881569218971, NV=15}
Individual{TOC=5406.2646133308535, NV=13}
Individual{TOC=5406.2646133308535, NV=13}
Individual{TOC=5406.2646133308535, NV=13}
Individual{TOC=5406.2646133308535, NV=13}
Individual{TOC=5406.2646133308535, NV=13}
Individual{TOC=5406.2646133308535, NV=13}
Individual{TOC=5436.081103881457, NV=12}
Individual{TOC=5436.081103881457, NV=12}
Individual{TOC=5436.081103881457, NV=12}
Individual{TOC=5436.081103881457, NV=12}
Individual{TOC=5436.081103881457, NV=12}
Individual{TOC=5436.081103881457, NV=12}
Individual{TOC=5436.081103881457, NV=12}
Individual{TOC=5436.081103881457, NV=12}
Individual{TOC=5436.081103881457, NV=12}
Individual{TOC=5436.081103881457, NV=12}
Individual{TOC=5436.081103881457, NV=12}
Individual{TOC=5436.081103881457, NV=12}
Individual{TOC=5436.081103881457, NV=12}
Individual{TOC=5436.081103881457, NV=12}
Individual{TOC=5436.081103881457, NV=12}
Individual{TOC=5436.081103881457, NV=12}
Individual{TOC=5436.081103881457, NV=12}
Individual{TOC=5436.081103881457, NV=12}
Individual{TOC=5436.081103881457, NV=12}
Individual{TOC=5436.081103881457, NV=12}
Individual{TOC=5436.081103881457, NV=12}
Individual{TOC=5436.081103881457, NV=12}
Individual{TOC=5436.081103881457, NV=12}
Individual{TOC=5436.081103881457, NV=12}
Individual{TOC=5436.081103881457, NV=12}
Individual{TOC=5436.081103881457, NV=12}
Individual{TOC=5436.081103881457, NV=12}
Individual{TOC=5436.081103881457, NV=12}
Individual{TOC=5436.081103881457, NV=12}
Individual{TOC=5436.081103881457, NV=12}
Individual{TOC=5436.081103881457, NV=12}
Individual{TOC=5436.081103881457, NV=12}
Individual{TOC=5436.081103881457, NV=12}
Individual{TOC=5436.081103881457, NV=12}
Individual{TOC=5436.081103881457, NV=12}
Individual{TOC=5436.081103881457, NV=12}
Individual{TOC=5436.081103881457, NV=12}
Individual{TOC=5436.081103881457, NV=12}
Individual{TOC=5436.081103881457, NV=12}
Individual{TOC=5436.081103881457, NV=12}
Individual{TOC=5436.081103881457, NV=12}
Individual{TOC=5436.081103881457, NV=12}
Individual{TOC=5456.341220641605, NV=11}
Individual{TOC=5456.341220641605, NV=11}
Individual{TOC=5456.341220641605, NV=11}
Individual{TOC=5456.341220641605, NV=11}
Individual{TOC=5456.341220641605, NV=11}
Individual{TOC=5456.341220641605, NV=11}
Individual{TOC=5456.341220641605, NV=11}
Individual{TOC=5456.341220641605, NV=11}
Individual{TOC=5456.341220641605, NV=11}
Individual{TOC=5456.341220641605, NV=11}
Individual{TOC=5456.341220641605, NV=11}
Individual{TOC=5456.341220641605, NV=11}
Individual{TOC=5456.341220641605, NV=11}
Individual{TOC=5456.341220641605, NV=11}
Individual{TOC=5456.341220641605, NV=11}
Individual{TOC=5456.341220641605, NV=11}
Individual{TOC=5456.341220641605, NV=11}
Individual{TOC=5456.341220641605, NV=11}
Individual{TOC=5456.341220641605, NV=11}
Individual{TOC=5456.341220641605, NV=11}
Individual{TOC=5456.341220641605, NV=11}
Individual{TOC=5456.341220641605, NV=11}
Individual{TOC=5456.341220641605, NV=11}
