Individual{TOC=2574.8160193830986, NV=6}
Individual{TOC=2603.1651524739755, NV=5}
Individual{TOC=2603.1651524739755, NV=5}
Individual{TOC=2603.1651524739755, NV=5}
Individual{TOC=2603.1651524739755, NV=5}
Individual{TOC=2603.1651524739755, NV=5}
Individual{TOC=2603.1651524739755, NV=5}
Individual{TOC=2603.1651524739755, NV=5}
Individual{TOC=2603.1651524739755, NV=5}
Individual{TOC=2603.1651524739755, NV=5}
Individual{TOC=2603.1651524739755, NV=5}
Individual{TOC=2603.1651524739755, NV=5}
Individual{TOC=2603.1651524739755, NV=5}
Individual{TOC=2603.1651524739755, NV=5}
Individual{TOC=2603.1651524739755, NV=5}
Individual{TOC=2603.1651524739755, NV=5}
Individual{TOC=2603.1651524739755, NV=5}
Individual{TOC=2603.1651524739755, NV=5}
