Individual{TOC=2481.612420065384, NV=6}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
Individual{TOC=2520.8950526246304, NV=5}
