Individual{TOC=16645.917006569165, NV=49}
Individual{TOC=16431.888733151776, NV=50}
Individual{TOC=16402.68692457218, NV=52}
Individual{TOC=16167.98349605518, NV=53}
Individual{TOC=16050.596989847441, NV=55}
Individual{TOC=15863.160275661314, NV=56}
Individual{TOC=15782.245231112158, NV=58}
Individual{TOC=15707.061257759799, NV=60}
Individual{TOC=15694.928286157321, NV=62}
Individual{TOC=15631.2354966668, NV=63}
Individual{TOC=15470.671162692714, NV=65}
Individual{TOC=15460.505607125258, NV=66}
Individual{TOC=15453.336130715785, NV=67}
Individual{TOC=15295.5747813537, NV=72}
