Individual{TOC=23590.408721954627, NV=46}
Individual{TOC=20747.70463783136, NV=49}
Individual{TOC=19960.51805851221, NV=50}
Individual{TOC=18885.562525066744, NV=51}
Individual{TOC=18038.237684220367, NV=55}
Individual{TOC=17882.01050245587, NV=56}
Individual{TOC=17527.640264444297, NV=59}
Individual{TOC=17407.164644418437, NV=60}
Individual{TOC=17277.177759562004, NV=61}
Individual{TOC=16992.118149826067, NV=62}
Individual{TOC=16928.215883493438, NV=65}
Individual{TOC=16808.848301320995, NV=67}
Individual{TOC=16734.008341637826, NV=69}
Individual{TOC=16706.673846101854, NV=70}
Individual{TOC=16623.007578175788, NV=73}
Individual{TOC=16611.86571277811, NV=74}
Individual{TOC=16548.964666675554, NV=76}
