Individual{TOC=26471.192568777904, NV=73}
Individual{TOC=26330.62185283613, NV=74}
Individual{TOC=26330.62185283613, NV=74}
Individual{TOC=26303.119159423968, NV=75}
Individual{TOC=26102.22272160733, NV=76}
Individual{TOC=25934.107627746413, NV=78}
Individual{TOC=25934.107627746413, NV=78}
Individual{TOC=25908.13673462798, NV=80}
Individual{TOC=25837.926842964218, NV=81}
Individual{TOC=25763.143782987245, NV=83}
Individual{TOC=25712.12520546206, NV=84}
Individual{TOC=25523.012322373153, NV=88}
Individual{TOC=25388.881371942934, NV=91}
Individual{TOC=24808.057396017834, NV=108}
Individual{TOC=24681.67384152212, NV=111}
Individual{TOC=24419.73533298312, NV=127}
Individual{TOC=24399.08485947915, NV=130}
Individual{TOC=24347.214808146808, NV=132}
