Individual{TOC=16489.15194454005, NV=51}
Individual{TOC=17058.239996476223, NV=49}
Individual{TOC=19103.60888259273, NV=46}
Individual{TOC=16989.894489696297, NV=50}
Individual{TOC=19750.55061705228, NV=41}
Individual{TOC=17172.70143278637, NV=47}
Individual{TOC=20084.348582825452, NV=40}
Individual{TOC=19267.336287967082, NV=45}
Individual{TOC=14221.441142461414, NV=70}
Individual{TOC=14476.70669770098, NV=63}
Individual{TOC=15138.770095227834, NV=56}
Individual{TOC=16028.991170676645, NV=53}
Individual{TOC=16245.0719048202, NV=52}
Individual{TOC=21177.758277181718, NV=37}
Individual{TOC=19499.635412985714, NV=42}
Individual{TOC=23453.961282301687, NV=35}
Individual{TOC=20715.641859443695, NV=38}
Individual{TOC=23303.183140291792, NV=36}
