Individual{TOC=18966.657919247984, NV=46}
Individual{TOC=20747.03179970119, NV=41}
Individual{TOC=21002.10176984692, NV=39}
Individual{TOC=14672.120995387979, NV=70}
Individual{TOC=19416.974074779344, NV=44}
Individual{TOC=18365.900841155846, NV=47}
Individual{TOC=15933.04121854533, NV=58}
Individual{TOC=22039.100780490884, NV=38}
Individual{TOC=16540.5511552725, NV=51}
Individual{TOC=15254.73096231989, NV=59}
Individual{TOC=20872.663156625702, NV=40}
Individual{TOC=22349.796932806767, NV=37}
Individual{TOC=16449.8695857436, NV=53}
Individual{TOC=16142.564535729518, NV=56}
Individual{TOC=22795.159687955886, NV=35}
Individual{TOC=14185.574464230287, NV=81}
Individual{TOC=14290.09924816277, NV=74}
Individual{TOC=14458.888886623268, NV=71}
Individual{TOC=14769.08976689265, NV=64}
Individual{TOC=14924.152694289633, NV=60}
Individual{TOC=17282.780817189578, NV=49}
Individual{TOC=14705.567105165554, NV=69}
Individual{TOC=20234.62569547178, NV=42}
Individual{TOC=19881.753702753787, NV=43}
Individual{TOC=22539.72711868806, NV=36}
Individual{TOC=23430.26265603632, NV=34}
