Individual{TOC=18720.36693838874, NV=39}
Individual{TOC=16423.0198037391, NV=76}
Individual{TOC=18672.414199814473, NV=40}
Individual{TOC=18119.548630943787, NV=42}
Individual{TOC=16284.180411356663, NV=79}
Individual{TOC=16580.898583285565, NV=68}
Individual{TOC=16634.15598354267, NV=67}
Individual{TOC=16784.50848993672, NV=57}
Individual{TOC=16952.132908057203, NV=51}
Individual{TOC=19354.346628929445, NV=37}
Individual{TOC=18034.078436387917, NV=43}
Individual{TOC=18894.300658015163, NV=38}
Individual{TOC=20174.188358394797, NV=36}
Individual{TOC=17358.746454636075, NV=44}
Individual{TOC=20353.755277718403, NV=35}
Individual{TOC=20843.266893564956, NV=33}
Individual{TOC=18266.29255384068, NV=41}
Individual{TOC=20577.391784655196, NV=34}
Individual{TOC=17282.877277670057, NV=46}
Individual{TOC=17084.094972695137, NV=47}
Individual{TOC=16905.509872033173, NV=53}
Individual{TOC=16390.384160014055, NV=77}
