Individual{TOC=16521.368699886887, NV=39}
Individual{TOC=16098.738576099115, NV=44}
Individual{TOC=17212.0829409533, NV=33}
Individual{TOC=15947.1846528562, NV=45}
Individual{TOC=15263.724435620572, NV=46}
Individual{TOC=16973.462003328877, NV=35}
Individual{TOC=17354.66762772666, NV=32}
Individual{TOC=14424.400619252378, NV=61}
Individual{TOC=14643.538190962823, NV=58}
Individual{TOC=14689.457731168894, NV=57}
Individual{TOC=14802.627380349295, NV=54}
Individual{TOC=14908.056306342118, NV=52}
Individual{TOC=16727.004783334956, NV=37}
Individual{TOC=16289.376463863255, NV=40}
Individual{TOC=14800.708232746421, NV=55}
Individual{TOC=16980.506976142336, NV=34}
Individual{TOC=14409.926041964247, NV=66}
Individual{TOC=17667.26869074703, NV=31}
