Individual{TOC=19372.54458753914, NV=59}
Individual{TOC=18396.127884352947, NV=66}
Individual{TOC=19731.45183434233, NV=55}
Individual{TOC=18218.05398181957, NV=68}
Individual{TOC=25074.356152808417, NV=48}
Individual{TOC=19039.17881904533, NV=64}
Individual{TOC=16378.148619324551, NV=107}
Individual{TOC=18763.589049978356, NV=65}
Individual{TOC=26345.43816833699, NV=46}
Individual{TOC=18211.215483215925, NV=70}
Individual{TOC=16257.81821866041, NV=117}
Individual{TOC=16459.18544782695, NV=103}
Individual{TOC=16819.663033016408, NV=85}
Individual{TOC=17787.921557077134, NV=73}
