Individual{TOC=21323.66198198554, NV=139}
Individual{TOC=48829.814486438125, NV=42}
Individual{TOC=25211.772756928356, NV=72}
Individual{TOC=22190.568965879418, NV=91}
Individual{TOC=22889.729604604392, NV=80}
Individual{TOC=32396.476586338656, NV=48}
Individual{TOC=28248.231601521064, NV=58}
Individual{TOC=20262.714080728416, NV=168}
Individual{TOC=28573.110740841617, NV=57}
Individual{TOC=21483.40463620834, NV=134}
Individual{TOC=21693.347100855422, NV=124}
Individual{TOC=20730.978151904026, NV=167}
Individual{TOC=28240.152724127078, NV=68}
Individual{TOC=21897.415370866634, NV=99}
Individual{TOC=25277.238891587105, NV=70}
Individual{TOC=50139.395246640786, NV=41}
Individual{TOC=21402.50560390773, NV=137}
