Individual{TOC=24020.20811366632, NV=60}
Individual{TOC=20020.98692175329, NV=92}
Individual{TOC=32047.05011644857, NV=47}
Individual{TOC=19999.470899577962, NV=98}
Individual{TOC=37217.316932683476, NV=42}
Individual{TOC=34890.317001068615, NV=44}
Individual{TOC=22325.297413896984, NV=68}
Individual{TOC=27246.335125414196, NV=55}
Individual{TOC=24730.893457961534, NV=57}
Individual{TOC=22909.743433070165, NV=65}
Individual{TOC=19530.64256829743, NV=108}
Individual{TOC=20770.017784187625, NV=83}
Individual{TOC=24416.48981777248, NV=59}
Individual{TOC=21288.153344552236, NV=77}
Individual{TOC=45337.848485014205, NV=41}
Individual{TOC=21938.729955770676, NV=73}
Individual{TOC=24680.96401671224, NV=58}
Individual{TOC=22226.70034657971, NV=70}
Individual{TOC=20999.408142325963, NV=81}
Individual{TOC=20637.18548260438, NV=86}
Individual{TOC=18906.739422169663, NV=154}
Individual{TOC=19871.134416976194, NV=100}
Individual{TOC=19705.64714570232, NV=104}
Individual{TOC=19408.553834753187, NV=120}
