Individual{TOC=41291.441317159035, NV=41}
Individual{TOC=19893.436833543972, NV=56}
Individual{TOC=24254.055487722108, NV=48}
Individual{TOC=18083.73704925714, NV=77}
Individual{TOC=22533.89575924978, NV=49}
Individual{TOC=18707.84120489106, NV=64}
Individual{TOC=19621.37538382118, NV=58}
Individual{TOC=27614.744550300053, NV=46}
Individual{TOC=18386.073723925885, NV=67}
Individual{TOC=18014.11413480886, NV=82}
Individual{TOC=36787.26270313974, NV=43}
Individual{TOC=22473.264754332304, NV=52}
Individual{TOC=18343.94097455234, NV=76}
Individual{TOC=19467.215358372927, NV=62}
