Individual{TOC=29879.499628843543, NV=73}
Individual{TOC=21447.22963120988, NV=119}
Individual{TOC=28289.379597426392, NV=76}
Individual{TOC=28859.232415339917, NV=74}
Individual{TOC=27192.735340894422, NV=80}
Individual{TOC=22330.07202085126, NV=111}
Individual{TOC=22322.896046252725, NV=112}
Individual{TOC=20446.512390483986, NV=132}
Individual{TOC=22645.3646076426, NV=105}
Individual{TOC=20741.947469715633, NV=126}
Individual{TOC=30552.776816704507, NV=66}
Individual{TOC=26017.02357457862, NV=88}
Individual{TOC=29972.5235435805, NV=71}
Individual{TOC=22852.11607891189, NV=104}
Individual{TOC=30964.895343142787, NV=62}
Individual{TOC=20730.13602362893, NV=131}
Individual{TOC=28229.62726239252, NV=77}
Individual{TOC=27008.327233067124, NV=82}
Individual{TOC=23970.21985675116, NV=97}
Individual{TOC=30940.69383096565, NV=63}
Individual{TOC=30754.580545813857, NV=65}
Individual{TOC=26889.714975031035, NV=84}
Individual{TOC=30335.817916007873, NV=69}
Individual{TOC=23986.991631002144, NV=93}
Individual{TOC=27208.04363877331, NV=79}
Individual{TOC=31873.935451888538, NV=60}
Individual{TOC=30775.55116907494, NV=64}
Individual{TOC=22903.231975978568, NV=103}
Individual{TOC=22539.11426723949, NV=109}
Individual{TOC=19877.44378493938, NV=146}
Individual{TOC=22599.667453575647, NV=108}
Individual{TOC=24845.11434040375, NV=91}
Individual{TOC=22633.691379124106, NV=106}
Individual{TOC=27335.316859640032, NV=78}
Individual{TOC=31739.49343972871, NV=61}
Individual{TOC=21773.14913425346, NV=116}
Individual{TOC=31974.004488353778, NV=59}
Individual{TOC=19937.845541921262, NV=145}
