Individual{TOC=21093.883161615428, NV=63}
Individual{TOC=20999.369088792915, NV=64}
Individual{TOC=20515.762981363714, NV=66}
Individual{TOC=21706.413654737466, NV=60}
Individual{TOC=21370.474362976776, NV=61}
Individual{TOC=21199.65736085499, NV=62}
Individual{TOC=19477.335908968587, NV=83}
Individual{TOC=19855.577292676375, NV=75}
Individual{TOC=19818.008239618826, NV=76}
Individual{TOC=20424.434729205386, NV=67}
Individual{TOC=19368.001443328227, NV=84}
Individual{TOC=19699.663586498245, NV=77}
Individual{TOC=18927.96105321096, NV=100}
Individual{TOC=19135.100827555358, NV=85}
Individual{TOC=18951.201646079655, NV=88}
Individual{TOC=20796.97062567991, NV=65}
Individual{TOC=18885.606419194282, NV=101}
Individual{TOC=19101.579268592024, NV=86}
Individual{TOC=19678.96197417084, NV=80}
Individual{TOC=19991.583993248714, NV=70}
Individual{TOC=19604.231325653116, NV=81}
Individual{TOC=19572.68315304687, NV=82}
