Individual{TOC=15312.696741245227, NV=47}
Individual{TOC=15221.856651449649, NV=49}
Individual{TOC=14984.472304093993, NV=58}
Individual{TOC=15572.966101112544, NV=45}
Individual{TOC=15391.964667156357, NV=46}
Individual{TOC=15083.59303477576, NV=51}
Individual{TOC=15846.16391898404, NV=44}
Individual{TOC=15241.769020023938, NV=48}
Individual{TOC=15007.360495637287, NV=53}
Individual{TOC=17877.53161952696, NV=42}
Individual{TOC=17556.80440203308, NV=43}
Individual{TOC=14979.332758170274, NV=60}
Individual{TOC=15112.954279724856, NV=50}
Individual{TOC=17922.351941917448, NV=41}
