Individual{TOC=17644.48893302945, NV=48}
Individual{TOC=16371.238109616012, NV=58}
Individual{TOC=17326.85433866868, NV=50}
Individual{TOC=16576.98425673286, NV=55}
Individual{TOC=16070.326768062307, NV=75}
Individual{TOC=16166.666145380781, NV=65}
Individual{TOC=16079.2950431371, NV=73}
Individual{TOC=16144.31428586777, NV=66}
Individual{TOC=16389.4363614294, NV=57}
Individual{TOC=16493.067883769458, NV=56}
Individual{TOC=17154.910776210563, NV=51}
Individual{TOC=16880.687077696115, NV=53}
Individual{TOC=16957.91290656295, NV=52}
Individual{TOC=16125.17812878167, NV=68}
Individual{TOC=17405.795664577625, NV=49}
Individual{TOC=16176.366151872784, NV=63}
Individual{TOC=16690.351778132368, NV=54}
Individual{TOC=16275.666318299676, NV=60}
Individual{TOC=16276.157707404262, NV=59}
