Individual{TOC=13828.977534225907, NV=66}
Individual{TOC=13741.409177052503, NV=72}
Individual{TOC=14485.338829547147, NV=48}
Individual{TOC=14013.811096416177, NV=59}
Individual{TOC=14425.29689313736, NV=49}
Individual{TOC=14599.918676908366, NV=47}
Individual{TOC=13927.363518042946, NV=63}
Individual{TOC=14079.064630231826, NV=56}
Individual{TOC=15260.155868367867, NV=42}
Individual{TOC=14073.813879420377, NV=57}
Individual{TOC=14285.194797154409, NV=53}
Individual{TOC=13915.747454417515, NV=65}
Individual{TOC=13969.782637529815, NV=60}
Individual{TOC=14342.446916598012, NV=51}
Individual{TOC=14198.776697143136, NV=54}
Individual{TOC=14777.96650971438, NV=44}
Individual{TOC=14688.254993670966, NV=45}
Individual{TOC=15169.363144643332, NV=43}
Individual{TOC=14387.426261706942, NV=50}
